" ","score","status","future","trend","pressures","resilience"
"Index",75.24,,75.5,,,
"Food Provision",54.99,54.92,55.06,0.18,,
". Fisheries",4.15,4,4.3,0,37.07,59.55
". Mariculture",100,100,100,0.34,35.95,48.77
"Artisanal Fishing Opportunity",70.53,67.24,73.83,0.01,35.08,62.46
"Natural Products",96.14,92.28,100,-0.01,33.59,63.63
"Carbon Storage",,,,,,66.32
"Coastal Protection",,,,,,66.32
"Tourism & Recreation",100,100,100,0,62.16,67.84
"Coastal Livelihoods & Economies",99.47,98.93,100,0.78,,
". Livelihoods",98.93,97.87,100,0.56,39.07,57.42
". Economies",100,100,100,1,37.64,47.69
"Sense of Place",35.21,35.61,34.81,-0.07,,
". Iconic Species",68.67,69.52,67.82,-0.14,40.08,60.85
". Lasting Special Places",1.75,1.69,1.8,0,47.18,65.56
"Clean Waters",66.96,68.33,65.58,0.01,82.16,67.84
"Biodiversity",78.59,82.45,74.73,-0.23,,
". Habitats",,,,,36.25,58.81
". Species",78.59,82.45,74.73,-0.23,40.92,59.58
